state,name,isLead
AL,Jenny Koebernick,TRUE
AK,Jakir Hasan,TRUE
AZ,Duke Pauli,TRUE
AR,Leandro Mozzoni,TRUE
AR,Caio Canella Vieira,
CA,Allen Van Deynze,TRUE
CO,Esten Mason,TRUE
FL,Barry Tillman,TRUE
FL,Diego Jarquin,
GA,Ali M Missaoui,
GA,Donglin Zhang,TRUE
HI,Michael Kantar,TRUE
HI,Nathan Fumia,
ID,Kamal Khadka,
IL,Martin Bohn,TRUE
IL,J. A. Juvik,
IL,Juan Arbelaez Velez,
IA,Thomas Lubberstedt,TRUE
KS,Guorong Zhang,TRUE
LA,Noah DeWitt,
ME,Ek Han Tan,
ME,Mario Murad Leite Andrade,TRUE
MD,Vijay Tiwari,TRUE
MA,Brook Moyers,TRUE
MI,David Douches,
MI,Addie Thompson,TRUE
MN,Neil Anderson,TRUE
MS,Marta Pudzianowska,TRUE
MT,Jason Cook,TRUE
NE,George Graef,TRUE
NH,Iago Hale,TRUE
NJ,Stacy Bonos,TRUE
NM,Richard Pratt,TRUE
NM,Naveen Puppala,TRUE
NY,Margaret Smith,
NY,Michael Gore,
NC,Vasu Kuraparthy,TRUE
ND,Mukhlesur Rahman,TRUE
OH,David Francis,TRUE
OK,Yanqi Wu,
OR,Shaun Townsend,TRUE
PR,Angela Linares-Ramirez,TRUE
SC,Ksenija Gasic,TRUE
SC,Jenna Hershberger,
SC,Trevor Rife,
SD,Sunish Sehgal,TRUE
TX,C. Wayne Smith,TRUE
TX,Steven Hague,
TX,Amit Dhingra,TRUE
UT,Margaret Krause,TRUE
VT,Eric Bishop-von Wettberg,TRUE
VA,Bo Zhang,TRUE
WA,Kate Evans,TRUE
WA,Per McCord,
WV,Barbara Liedl,TRUE
WY,Donna Harris,TRUE
